Specimen,Shark_species,lowest_visual,BLAST_taxanomic_resolution
C1,Blacknose,Other,Other
C10,Atlantic Sharpnose,Species,Other
C100,Bonnethead,Other,Other
C101,Bonnethead,Species,Species
C102,Bonnethead,Species,Species
C103,Bonnethead,Other,Species
C104,Bonnethead,Other,Species
C105,Bonnethead,Species,Species
C106,Bonnethead,Other,Other
C107,Bonnethead,Other,Other
C108,Bonnethead,Species,Species
C109,Bonnethead,Other,Species
C11,Atlantic Sharpnose,Other,Other
C110,Bonnethead,Other,Species
C111,Bonnethead,Other,Species
C112,Bonnethead,Other,Species
C113,Bonnethead,Other,Species
C114,Bonnethead,Species,Species
C115,Bonnethead,Other,Species
C116,Blacktip,Other,Other
C117,Bonnethead,Species,Species
C118,Bonnethead,Species,Species
C119,Bonnethead,Species,Species
C12,Atlantic Sharpnose,Other,Other
C120,Atlantic Sharpnose,Other,Species
C121,Bonnethead,Species,Species
C13,Atlantic Sharpnose,Other,Other
C14,Atlantic Sharpnose,Species,Other
C15,Atlantic Sharpnose,Other,Species
C16,Atlantic Sharpnose,Other,Species
C17,Atlantic Sharpnose,Other,Species
C18,Atlantic Sharpnose,Other,Species
C19,Blacknose,Species,Species
C2,Blacknose,Other,Species
C20,Blacknose,Other,Species
C21,Blacknose,Other,Species
C22,Blacknose,Other,Species
C23,Blacknose,Other,Other
C24,Blacknose,Other,Species
C25,Blacknose,Other,Species
C26,Blacknose,Other,Species
C27,Blacktip,Other,Other
C28,Blacknose,Other,Species
C29,Blacknose,Other,Species
C3,Blacknose,Other,Species
C30,Blacknose,Other,Species
C31,Blacknose,Species,Species
C32,Blacknose,Other,Species
C33,Blacknose,Other,Species
C34,Blacknose,Other,Species
C35,Atlantic Sharpnose,Species,Other
C36,Atlantic Sharpnose,Other,Other
C37,Atlantic Sharpnose,Species,Other
C38,Atlantic Sharpnose,Other,Other
C39,Atlantic Sharpnose,Species,Species
C4,Blacknose,Other,Species
C40,Atlantic Sharpnose,Other,Species
C41,Atlantic Sharpnose,Other,Other
C42,Atlantic Sharpnose,Other,Species
C43,Blacknose,Other,Species
C44,Blacktip,Other,Other
C45,Atlantic Sharpnose,Species,Species
C46,Blacktip,Other,Species
C47,Atlantic Sharpnose,Other,Species
C48,Atlantic Sharpnose,Other,Other
C49,Atlantic Sharpnose,Other,Species
C5,Blacknose,Other,Other
C50,Blacktip,Species,Species
C51,Blacktip,Other,Species
C52,Blacktip,Other,Species
C53,Blacktip,Other,Other
C54,Bonnethead,Other,Species
C55,Bonnethead,Other,Other
C58,Atlantic Sharpnose,Other,Species
C59,Atlantic Sharpnose,Other,Species
C6,Blacknose,Other,Other
C60,Atlantic Sharpnose,Other,Other
C61,Blacknose,Species,Species
C62,Atlantic Sharpnose,Other,Species
C63,Atlantic Sharpnose,Species,Species
C64,Atlantic Sharpnose,Other,Other
C65,Atlantic Sharpnose,Species,Species
C66,Atlantic Sharpnose,Other,Other
C67,Atlantic Sharpnose,Species,Species
C68,Atlantic Sharpnose,Other,Other
C69,Atlantic Sharpnose,Other,Species
C7,Blacknose,Other,Species
C70,Atlantic Sharpnose,Other,Other
C71,Blacktip,Species,Other
C72,Atlantic Sharpnose,Species,Other
C74,Bonnethead,Species,Species
C75,Bonnethead,Other,Species
C76,Bonnethead,Other,Other
C77,Bonnethead,Species,Species
C78,Bonnethead,Other,Species
C79,Bonnethead,Other,Other
C8,Blacknose,Other,Other
C80,Bonnethead,Species,Species
C81,Blacknose,Species,Other
C82,Atlantic Sharpnose,Other,Other
C83,Atlantic Sharpnose,Species,Other
C84,Atlantic Sharpnose,Other,Other
C85,Atlantic Sharpnose,Other,Other
C86,Atlantic Sharpnose,Other,Species
C87,Atlantic Sharpnose,Other,Other
C88,Bonnethead,Species,Species
C89,Bonnethead,Species,Other
C9,Atlantic Sharpnose,Other,Species
C90,Bonnethead,Other,Species
C91,Bonnethead,Species,Species
C92,Blacktip,Other,Species
C93,Bonnethead,Other,Species
C94,Bonnethead,Species,Species
C95,Bonnethead,Other,Species
C96,Bonnethead,Other,Other
C97,Bonnethead,Species,Species
C98,Bonnethead,Other,Other
C99,Bonnethead,Species,Species
